id,identifier,NAZWA,ULICA,KOD pocztowy,MIASTO,WOJEWÓDZTWO,name,,health_fund
109,1001,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Zwycięstwa 1,66-100,Sulechów,lubuskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Zwycięstwa 1, 66-100 Sulechów",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
110,1002,Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Powiatowy im. dr Henryka Jordana w Sulęcinie,Witosa 7,69-200,Sulęcin,lubuskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Powiatowy im. dr Henryka Jordana w Sulęcinie, ul. Witosa 7, 69-200 Sulęcin",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
111,1007,Nowy Szpital w Świebodzinie Sp. z o.o.,Młyńska 6,66-200,Świebodzin,lubuskie,"Nowy Szpital w Świebodzinie Sp. z o.o., ul. Młyńska 6, 66-200 Świebodzin",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
112,1081,Nowy Spital we Wschowie Sp. z o.o.,Ks. Kostki 33,67-400,Wschowa,lubuskie,"Nowy Spital we Wschowie Sp. z o.o., ul. Ks. Kostki 33, 67-400 Wschowa",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
113,1099,Szpital Wojewódzki Samodzielny Publiczny Zakład Opieki Zdrowotnej im. Karola Marcinkowskiego,Zyty 26,65-046,Zielona Góra,lubuskie,"Szpital Wojewódzki Samodzielny Publiczny Zakład Opieki Zdrowotnej im. Karola Marcinkowskiego, ul. Zyty 26, 65-046 Zielona Góra",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
114,1089,105 Szpital Wojskowy z Przychodną - Samodzielny Publiczny Zakład Opieki Zdrowotnej - Filia Żagań,Żelazna 1 a,68-100,Żagań,lubuskie,"105 Szpital Wojskowy z Przychodną - Samodzielny Publiczny Zakład Opieki Zdrowotnej - Filia Żagań, ul. Żelazna 1 a, 68-100 Żagań",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
115,1094,Szpital na wyspie Sp.z o.o.,Pszenna 2,68-200,Żary,lubuskie,"Szpital na wyspie Sp.z o.o., ul. Pszenna 2, 68-200 Żary",Lubuski Oddział Narodowego Funduszu Zdrowia w Zielonej Górze,4
116,672,Szpital Wojewódzki im. Jana Pawła II,Czapliniecka 123,97-400,Bełchatów,łódzkie,"Szpital Wojewódzki im. Jana Pawła II, ul. Czapliniecka 123, 97-400 Bełchatów",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
117,693,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Marii Curie-Skłodowskiej 6,95-060,Brzeziny,łódzkie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Marii Curie-Skłodowskiej 6, 95-060 Brzeziny",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
118,745,Centrum Zdrowia ABiS przy Wyższej Szkole Informatyki i Umiejętności w Łodzi,Wojska Polskiego 32/34,95-015,Głowno,łódzkie,"Centrum Zdrowia ABiS przy Wyższej Szkole Informatyki i Umiejętności w Łodzi, ul. Wojska Polskiego 32/34, 95-015 Głowno",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
119,822,"""Kutnowski Szpitala Samorządowy"" Sp.z o.o.",Kościuszki 52,99-300,Kutno,łódzkie,"""Kutnowski Szpitala Samorządowy"" Sp.z o.o., ul. Kościuszki 52, 99-300 Kutno",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
120,826,"""Centrum Dializa"" Sp. z o.o.",Warszawska 62 A,98-100,Łask,łódzkie,"""Centrum Dializa"" Sp. z o.o., ul. Warszawska 62 A, 98-100 Łask",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
121,828,Zespół Opieki Zdrowotnej w Łęczycy,Zachodnia 6,99-100,Łęczyca,łódzkie,"Zespół Opieki Zdrowotnej w Łęczycy, ul. Zachodnia 6, 99-100 Łęczyca",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
122,845,Zespół Opieki Zdrowotnej w Łowiczu,Ułańska 28,99-400,Łowicz,łódzkie,"Zespół Opieki Zdrowotnej w Łowiczu, ul. Ułańska 28, 99-400 Łowicz",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
123,1140,Szpital Prywatny SALVE ZOZ Sp. z o.o.,Szparagowa 10,91-211,Łódź,łódzkie,"Szpital Prywatny SALVE ZOZ Sp. z o.o., ul. Szparagowa 10, 91-211 Łódź",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
124,838,Szpital Ginekologiczno-Położniczy im. dr. Ludwika Rydygiera Sp. z o.o.,Seweryna Sterlinga 13,90-217,Łódź,łódzkie,"Szpital Ginekologiczno-Położniczy im. dr. Ludwika Rydygiera Sp. z o.o., ul. Seweryna Sterlinga 13, 90-217 Łódź",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
125,839,"Instytut ""Centrum Zdrowia Matki Polki"" Klinika Położnictwa i Ginekologii, Klinika Perinatologii i Ginekologii, Klinika Neonatologii",Rzgowska 281/289,93-338,Łódź,łódzkie,"Instytut ""Centrum Zdrowia Matki Polki"" Klinika Położnictwa i Ginekologii, Klinika Perinatologii i Ginekologii, Klinika Neonatologii, ul. Rzgowska 281/289, 93-338 Łódź",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
126,1141,MEDEOR PLUS Szpital Wielospecjalistyczny,Ciesielska 8,91-308,Łódź,łódzkie,"MEDEOR PLUS Szpital Wielospecjalistyczny, ul. Ciesielska 8, 91-308 Łódź",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
127,840,Wojewódzki Specjalistyczny Szpital im. M. Pirogowa,Wileńska 37,94-029,Łódź,łódzkie,"Wojewódzki Specjalistyczny Szpital im. M. Pirogowa, ul. Wileńska 37, 94-029 Łódź",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
128,902,SP ZOZ Szpital Powiatowy im. E. Biernackiego,Partyzantów 30,26-300,Opoczno,łódzkie,"SP ZOZ Szpital Powiatowy im. E. Biernackiego, ul. Partyzantów 30, 26-300 Opoczno",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
129,912,Pabianickie Centrum Madyczne Sp.z o.o.,Jana Pawła II 68,95-200,Pabianice,łódzkie,"Pabianickie Centrum Madyczne Sp.z o.o., ul. Jana Pawła II 68, 95-200 Pabianice",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
130,920,Powiatowy Zespół Opieki Zdrowotnej,Roosevelta 3,97-300,Piotrków Trybunalski,łódzkie,"Powiatowy Zespół Opieki Zdrowotnej, ul. Roosevelta 3, 97-300 Piotrków Trybunalski",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
131,921,Samodzielny Szpital Wojewódzki im. Mikołaja Kopernika,Rakowska 15,97-300,Piotrków Trybunalski,łódzkie,"Samodzielny Szpital Wojewódzki im. Mikołaja Kopernika, ul. Rakowska 15, 97-300 Piotrków Trybunalski",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
132,927,Poddębickie Centrum Zdrowia Sp.z o.o,Mickiewicza 16,99-200,Poddębice,łódzkie,"Poddębickie Centrum Zdrowia Sp.z o.o, ul. Mickiewicza 16, 99-200 Poddębice",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
133,953,Szpital Powiatowy w Radomsku,Jagiellońska 36,97-500,Radomsko,łódzkie,"Szpital Powiatowy w Radomsku, ul. Jagiellońska 36, 97-500 Radomsko",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
134,956,Szpital im. Św. Ducha w Rawie Mazowieckiej,Warszawska 14,96-200,Rawa Mazowiecka,łódzkie,"Szpital im. Św. Ducha w Rawie Mazowieckiej, ul. Warszawska 14, 96-200 Rawa Mazowiecka",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
135,973,Szpital Wojewódzki im. Kardynała Stefana Wyszyńskiego,Armii Krajowej 7,98-200,Sieradz,łódzkie,"Szpital Wojewódzki im. Kardynała Stefana Wyszyńskiego, ul. Armii Krajowej 7, 98-200 Sieradz",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
136,977,Wojewódzki Szpital Zespolony,Rybickiego 1,96-100,Skierniewice,łódzkie,"Wojewódzki Szpital Zespolony, ul. Rybickiego 1, 96-100 Skierniewice",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
137,1032,Tomaszowskie Centrum Zdrowia Sp. z o.o.,Jana Pawła II 35,97-200,Tomaszów Mazowiecki,łódzkie,"Tomaszowskie Centrum Zdrowia Sp. z o.o., ul. Jana Pawła II 35, 97-200 Tomaszów Mazowiecki",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
138,1067,Samodzielny Publiczny Zakład Opieki Zdrowotnej,Szpitalna 16,98-300,Wieluń,łódzkie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Szpitalna 16, 98-300 Wieluń",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
139,1096,Zduńskowolski Szpitala Powiatowy Sp.z o.o.,Królewska 29,98-220,Zduńska Wola,łódzkie,"Zduńskowolski Szpitala Powiatowy Sp.z o.o., ul. Królewska 29, 98-220 Zduńska Wola",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
140,1097,Wojewódzki Szpital Specjalistyczny im. Marii Skłodowskiej – Curie,Parzęczewska 35,95-100,Zgierz,łódzkie,"Wojewódzki Szpital Specjalistyczny im. Marii Skłodowskiej – Curie, ul. Parzęczewska 35, 95-100 Zgierz",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
141,1148,Gameta Szpital,Rudzka 34/36,95-030,Rzgów,łódzkie,"Gameta Szpital, ul. Rudzka 34/36, 95-030 Rzgów",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
142,1150,Szpital Specjalistyczny PRO FAMILIA ŁÓDŹ,Niciarniana 46,90-349,Łódź,łódzkie,"Szpital Specjalistyczny PRO FAMILIA ŁÓDŹ, ul. Niciarniana 46, 90-349 Łódź",Łódzki Oddział Narodowego Funduszu Zdrowia w Łodzi,5
143,685,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Bochni. ""Szpital Powiatowy"" im. bł Marty Wieckiej",Krakowska 31,32-700,Bochnia,małopolskie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Bochni. ""Szpital Powiatowy"" im. bł Marty Wieckiej, ul. Krakowska 31, 32-700 Bochnia",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
144,692,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Brzesku. Szpital Powiatowy im. L.Rydygiera,Kościuszki 68,32-800,Brzesko,małopolskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Brzesku. Szpital Powiatowy im. L.Rydygiera, ul. Kościuszki 68, 32-800 Brzesko",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
145,712,Szpital Powiatowy w Chrzanowie,Topolowa 16,32-500,Chrzanów,małopolskie,"Szpital Powiatowy w Chrzanowie, ul. Topolowa 16, 32-500 Chrzanów",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
146,723,Zespól Opieki Zdrowotnej,Szpitalna 1,33-200,Dąbrowa Tarnowska,małopolskie,"Zespól Opieki Zdrowotnej, ul. Szpitalna 1, 33-200 Dąbrowa Tarnowska",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
147,752,Szpital Specjalistyczny im. H. Klimontowicza,Węgierska 21,38-300,Gorlice,małopolskie,"Szpital Specjalistyczny im. H. Klimontowicza, ul. Węgierska 21, 38-300 Gorlice",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
148,807,SP ZOZ Szpital Uniwersytecki w Krakowie,Mikołaja Kopernika 23,31-501,Kraków,małopolskie,"SP ZOZ Szpital Uniwersytecki w Krakowie, ul. Mikołaja Kopernika 23, 31-501 Kraków",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
149,810,Niepubliczny Zakład Opieki Zdrowotnej. Szpital na Siemiradzkiego im. R.Czerwiakowskiego Sp. z o.o.,Siemiradzkiego 1,31-137,Kraków,małopolskie,"Niepubliczny Zakład Opieki Zdrowotnej. Szpital na Siemiradzkiego im. R.Czerwiakowskiego Sp. z o.o., ul. Siemiradzkiego 1, 31-137 Kraków",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
150,811,Szpital Miejski Specjalistyczny im. Gabriela Narutowicza,Prądnicka 35/37,31-202,Kraków,małopolskie,"Szpital Miejski Specjalistyczny im. Gabriela Narutowicza, ul. Prądnicka 35/37, 31-202 Kraków",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
151,808,Szpital Położniczo – Ginekologiczny UJASTEK,Ujastek 3,31-752,Kraków,małopolskie,"Szpital Położniczo – Ginekologiczny UJASTEK, ul. Ujastek 3, 31-752 Kraków",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
152,813,Szpital Specjalistyczny im. Stefana Żeromskiego SP ZOZ,os. Na Skarpie 66,31-913,Kraków,małopolskie,"Szpital Specjalistyczny im. Stefana Żeromskiego SP ZOZ, ul. os. Na Skarpie 66, 31-913 Kraków",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
153,814,Szpital Specjalistyczny im. Ludwika Rydygiera Sp. z o.o.,os. Złotej Jesieni 1,31-826,Kraków,małopolskie,"Szpital Specjalistyczny im. Ludwika Rydygiera Sp. z o.o., ul. os. Złotej Jesieni 1, 31-826 Kraków",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
154,821,SP ZOZ Szpital im. dr J. Dietla,Kraszewskiego 142,33-380,Krynica Zdrój,małopolskie,"SP ZOZ Szpital im. dr J. Dietla, ul. Kraszewskiego 142, 33-380 Krynica Zdrój",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
155,835,Szpital Powiatowy w Limanowej,Piłsudskiego 61,34-600,Limanowa,małopolskie,"Szpital Powiatowy w Limanowej, ul. Piłsudskiego 61, 34-600 Limanowa",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
156,860,Szpital Św. Anny,Szpitalna 3,32-200,Miechów,małopolskie,"Szpital Św. Anny, ul. Szpitalna 3, 32-200 Miechów",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
157,871,Samodzielny Publiczny Zespół Opieki Zdrowotnej,Szpitalna 2,32-400,Myślenice,małopolskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej, ul. Szpitalna 2, 32-400 Myślenice",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
158,887,Szpital Położniczo-Ginekologiczny MEDIKOR,Rzemieślnicza 5,33-300,Nowy Sącz,małopolskie,"Szpital Położniczo-Ginekologiczny MEDIKOR, ul. Rzemieślnicza 5, 33-300 Nowy Sącz",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
159,888,Szpital Specjalistyczny im. Jędrzeja Śniadeckiego,Młyńska 10 (siedziba)/ul.Plac Kuźnice 1 - oddział położniczy,33-300,Nowy Sącz,małopolskie,"Szpital Specjalistyczny im. Jędrzeja Śniadeckiego, ul. Młyńska 10 (siedziba)/ul.Plac Kuźnice 1 - oddział położniczy, 33-300 Nowy Sącz",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
160,889,Podhalański Szpital Specjalistyczny im. Jana Pawła II,Szpitalna 14,34-400,Nowy Targ,małopolskie,"Podhalański Szpital Specjalistyczny im. Jana Pawła II, ul. Szpitalna 14, 34-400 Nowy Targ",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
161,897,Nowy Szpital w Olkuszu,Al. 1000-lecia 13,32-300,Olkusz,małopolskie,"Nowy Szpital w Olkuszu, ul. Al. 1000-lecia 13, 32-300 Olkusz",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
162,1037,Szpital Położniczo Operacyjny im. Św. Elżbiety w Roztoce,Roztoka 55,32-831,Olszyny,małopolskie,"Szpital Położniczo Operacyjny im. Św. Elżbiety w Roztoce, ul. Roztoka 55, 32-831 Olszyny",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
163,910,ZOZ Szpital Powiatowy im. Św. Maksymiliana,Wysokie Brzegi 4,32-600,Oświęcim,małopolskie,"ZOZ Szpital Powiatowy im. Św. Maksymiliana, ul. Wysokie Brzegi 4, 32-600 Oświęcim",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
164,936,Samodzielny Publiczny Zespół Opieki Zdrowotnej,Kopernika 13,32-100,Proszowice,małopolskie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej, ul. Kopernika 13, 32-100 Proszowice",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
165,1000,Zakład Opieki Zdrowotnej Sucha Beskidzka,Szpitalna 22,34-200,Sucha Beskidzka,małopolskie,"Zakład Opieki Zdrowotnej Sucha Beskidzka, ul. Szpitalna 22, 34-200 Sucha Beskidzka",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
166,1026,Specjalistyczny Szpital im. E. Szczeklika,Szpitalna 13,33-100,Tarnów,małopolskie,"Specjalistyczny Szpital im. E. Szczeklika, ul. Szpitalna 13, 33-100 Tarnów",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
167,1027,Szpital Wojewódzki im. św. Łukasza. SP ZOZ w Tarnowie,Lwowska 178a,33-100,Tarnów,małopolskie,"Szpital Wojewódzki im. św. Łukasza. SP ZOZ w Tarnowie, ul. Lwowska 178a, 33-100 Tarnów",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
168,1134,Centrum Zdrowia Tuchów Sp. z o.o.,Szpitalna 1,33-170,Tuchów,małopolskie,"Centrum Zdrowia Tuchów Sp. z o.o., ul. Szpitalna 1, 33-170 Tuchów",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
169,1043,Zespól Zakładów Opieki Zdrowotnej,Karmelicka 12,34-100,Wadowice,małopolskie,"Zespól Zakładów Opieki Zdrowotnej, ul. Karmelicka 12, 34-100 Wadowice",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
170,1090,Szpital Powiatowy im. dr Tytusa Chałubińskiego,Kamieniec 10,34-500,Zakopane,małopolskie,"Szpital Powiatowy im. dr Tytusa Chałubińskiego, ul. Kamieniec 10, 34-500 Zakopane",Małopolski Oddział Narodowego Funduszu Zdrowia w Krakowie,6
171,713,Specjalistyczny Szpital Wojewódzki,Powstanców Wielkopolskich 2,06-400,Ciechanów,mazowieckie,"Specjalistyczny Szpital Wojewódzki, ul. Powstanców Wielkopolskich 2, 06-400 Ciechanów",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
172,735,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Garwolinie,Lubelska 50,08-400,Garwolin,mazowieckie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Garwolinie, ul. Lubelska 50, 08-400 Garwolin",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
173,756,Arion Med. Sp. z o.o. Zespół Opieki Zdrowotnej w Gostyninie. Szpital Kruk,Kruk 5,09-500,Gostynin,mazowieckie,"Arion Med. Sp. z o.o. Zespół Opieki Zdrowotnej w Gostyninie. Szpital Kruk, ul. Kruk 5, 09-500 Gostynin",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
174,759,Powiatowe Centrum Medyczne w Grójcu Sp. z o.o.,Piotra Skargi 10,05-600,Grójec,mazowieckie,"Powiatowe Centrum Medyczne w Grójcu Sp. z o.o., ul. Piotra Skargi 10, 05-600 Grójec",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
175,767,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej Szpital w Iłży,dr Anki 4,27-100,Iłża,mazowieckie,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej Szpital w Iłży, ul. dr Anki 4, 27-100 Iłża",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
176,806,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej,Al.Gen. Władysława Sikorskiego 10,26-400,Kozienice,mazowieckie,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej, ul. Al.Gen. Władysława Sikorskiego 10, 26-400 Kozienice",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
177,837,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej Szpital Powiatowy,Śniadeckiego 2,27-300,Lipsko,mazowieckie,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej Szpital Powiatowy, ul. Śniadeckiego 2, 27-300 Lipsko",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
178,857,Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespól Zakładów Oddział Ginekologiczno-Położniczy,Witosa 2,06-200,Maków Mazowiecki,mazowieckie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespól Zakładów Oddział Ginekologiczno-Położniczy, ul. Witosa 2, 06-200 Maków Mazowiecki",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
179,866,Samodzielny Publiczny Zespół Opieki Zdrowotnej,Szpitalna 37,05-300,Mińsk Mazowiecki,mazowieckie,"Samodzielny Publiczny Zespół Opieki Zdrowotnej, ul. Szpitalna 37, 05-300 Mińsk Mazowiecki",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
180,867,Samodzielny Publiczny Zakład Opieki Zdrowotnej,dr A. Dobrskiej 1,06-500,Mława,mazowieckie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. dr A. Dobrskiej 1, 06-500 Mława",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
181,883,Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Rejonowy,Tomaszowska 43,26-420,Nowe Miasto nad Pilicą,mazowieckie,"Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Rejonowy, ul. Tomaszowska 43, 26-420 Nowe Miasto nad Pilicą",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
182,886,Nowodworskie Centrum Medyczne,Miodowa 2,05-100,Nowy Dwór Mazowiecki,mazowieckie,"Nowodworskie Centrum Medyczne, ul. Miodowa 2, 05-100 Nowy Dwór Mazowiecki",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
183,905,Mazowiecki Szpital Specjalistyczny w Ostrołęce im. dr Józefa Psarskiego,Al. Jana Pawła II 120 A,07-410,Ostrołęka,mazowieckie,"Mazowiecki Szpital Specjalistyczny w Ostrołęce im. dr Józefa Psarskiego, ul. Al. Jana Pawła II 120 A, 07-410 Ostrołęka",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
184,906,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Ostrowi Mazowieckiej,Dubois 68,07-300,Ostrów Mazowiecka,mazowieckie,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Ostrowi Mazowieckiej, ul. Dubois 68, 07-300 Ostrów Mazowiecka",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
185,911,Powiatowe Centrum Zdrowia Sp. z o.o. Szpital Powiatowy w Otwocku,Batorego 44,05-400,Otwock,mazowieckie,"Powiatowe Centrum Zdrowia Sp. z o.o. Szpital Powiatowy w Otwocku, ul. Batorego 44, 05-400 Otwock",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
186,1138,NZOZ Szpital św. Anny w Piasecznie,ul. Mickiewicza 39,05-500,Piaseczno,mazowieckie,"NZOZ Szpital św. Anny w Piasecznie, ul. ul. Mickiewicza 39, 05-500 Piaseczno",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
187,919,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej,15 stycznia 1,26-670,Pionki,mazowieckie,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej, ul. 15 stycznia 1, 26-670 Pionki",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
188,924,Płocki Zakład Opieki Zdrowotnej Sp z o.o. Szpital Śwętej Trójcy,Kościuszki 28,09-402,Płock,mazowieckie,"Płocki Zakład Opieki Zdrowotnej Sp z o.o. Szpital Śwętej Trójcy, ul. Kościuszki 28, 09-402 Płock",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
189,925,Wojewódzki Szpital Zespolony,Medyczna 19,09-400,Płock,mazowieckie,"Wojewódzki Szpital Zespolony, ul. Medyczna 19, 09-400 Płock",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
190,926,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej im. Marszałka Józefa Piłsudskiego w Płońsku,Sienkiewicza 7,09-100,Płońsk,mazowieckie,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej im. Marszałka Józefa Piłsudskiego w Płońsku, ul. Sienkiewicza 7, 09-100 Płońsk",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
191,938,Samodzielny Publiczny Zespól Zakładów Opieki Zdrowotnej w Pruszkowie,Armii Krajowej 2/4,05-800,Pruszków,mazowieckie,"Samodzielny Publiczny Zespól Zakładów Opieki Zdrowotnej w Pruszkowie, ul. Armii Krajowej 2/4, 05-800 Pruszków",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
192,939,Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Przasnyszu Szpital im. dr. Wojciecha Oczko,Sadowa 9,06-300,Przasnysz,mazowieckie,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Przasnyszu Szpital im. dr. Wojciecha Oczko, ul. Sadowa 9, 06-300 Przasnysz",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
193,946,Szpital Powiatowy w Pułtusku Sp z o.o.,Teofila Kwiatkowskiego 19,06-102,Pułtusk,mazowieckie,"Szpital Powiatowy w Pułtusku Sp z o.o., ul. Teofila Kwiatkowskiego 19, 06-102 Pułtusk",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
194,951,Radomski Szpital Specjalistyczny im. dr T. Chałubińskiego,Tochtermana 1,26-600,Radom,mazowieckie,"Radomski Szpital Specjalistyczny im. dr T. Chałubińskiego, ul. Tochtermana 1, 26-600 Radom",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
195,952,Mazowiecki Szpitala Specjalistyczny Sp. z o.o.,Juliana Aleksandrowicza 5,26-600,Radom,mazowieckie,"Mazowiecki Szpitala Specjalistyczny Sp. z o.o., ul. Juliana Aleksandrowicza 5, 26-600 Radom",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
196,970,Mazowiecki Szpital Wojewódzki w Siedlcach Sp. z o.o. Siedlecki Szpital Specjalistyczny.,Poniatowskiego 26,08-110,Siedlce,mazowieckie,"Mazowiecki Szpital Wojewódzki w Siedlcach Sp. z o.o. Siedlecki Szpital Specjalistyczny., ul. Poniatowskiego 26, 08-110 Siedlce",Mazowiecki Oddział Narodowego Funduszu Zdrowia w Warszawie,7
